2024-03-07T00:03:59.236+01:00 r= ip=  INFO 25592 --- [wendys-tournament-management] [main] .a.i.SeprIndividualAssignmentApplication : Starting SeprIndividualAssignmentApplication using Java 21.0.1 with PID 25592 (/home/ivan/Wendys-Tournament-Management/backend/target/classes started by ivan in /home/ivan/Wendys-Tournament-Management/backend)
2024-03-07T00:03:59.250+01:00 r= ip=  INFO 25592 --- [wendys-tournament-management] [main] .a.i.SeprIndividualAssignmentApplication : No active profile set, falling back to 1 default profile: "default"
2024-03-07T00:05:43.510+01:00 r=79870ded0937 ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-6] a.a.t.s.a.individual.config.LogFilter    : >>> GET /horses UA=Mozilla/5.0 (X11; Linux x86_64; rv:122.0) Gecko/20100101 Firefox/122.0
2024-03-07T00:05:43.511+01:00 r=79870ded0937 ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-6] a.a.t.s.a.individual.rest.HorseEndpoint  : GET /horses
2024-03-07T00:05:43.515+01:00 r=79870ded0937 ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-6] a.a.t.s.a.individual.config.LogFilter    : <<< GET /horses status=200 time=4ms
2024-03-07T00:05:43.817+01:00 r=a6a096555d40 ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-7] a.a.t.s.a.individual.config.LogFilter    : >>> GET /horses UA=Mozilla/5.0 (X11; Linux x86_64; rv:122.0) Gecko/20100101 Firefox/122.0
2024-03-07T00:05:43.820+01:00 r=a6a096555d40 ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-7] a.a.t.s.a.individual.rest.HorseEndpoint  : GET /horses
2024-03-07T00:05:43.826+01:00 r=a6a096555d40 ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-7] a.a.t.s.a.individual.config.LogFilter    : <<< GET /horses status=200 time=8ms
2024-03-07T00:05:45.317+01:00 r=61735e7588dd ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-8] a.a.t.s.a.individual.config.LogFilter    : >>> GET /horses/1 UA=Mozilla/5.0 (X11; Linux x86_64; rv:122.0) Gecko/20100101 Firefox/122.0
2024-03-07T00:05:45.319+01:00 r=61735e7588dd ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-8] a.a.t.s.a.individual.rest.HorseEndpoint  : GET /horses/1
2024-03-07T00:05:45.321+01:00 r=61735e7588dd ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-8] a.a.t.s.a.individual.config.LogFilter    : <<< GET /horses/1 status=200 time=3ms
2024-03-07T00:12:03.316+01:00 r=2038a218e337 ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-10] a.a.t.s.a.individual.config.LogFilter    : >>> GET /horses UA=Mozilla/5.0 (X11; Linux x86_64; rv:122.0) Gecko/20100101 Firefox/122.0
2024-03-07T00:12:03.318+01:00 r=2038a218e337 ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-10] a.a.t.s.a.individual.rest.HorseEndpoint  : GET /horses
2024-03-07T00:12:03.322+01:00 r=2038a218e337 ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-10] a.a.t.s.a.individual.config.LogFilter    : <<< GET /horses status=200 time=5ms
2024-03-07T00:12:03.629+01:00 r=f3a9145078cc ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-1] a.a.t.s.a.individual.config.LogFilter    : >>> GET /horses UA=Mozilla/5.0 (X11; Linux x86_64; rv:122.0) Gecko/20100101 Firefox/122.0
2024-03-07T00:12:03.631+01:00 r=f3a9145078cc ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-1] a.a.t.s.a.individual.rest.HorseEndpoint  : GET /horses
2024-03-07T00:12:03.636+01:00 r=f3a9145078cc ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-1] a.a.t.s.a.individual.config.LogFilter    : <<< GET /horses status=200 time=6ms
2024-03-07T00:12:05.645+01:00 r=68fb1e825130 ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-2] a.a.t.s.a.individual.config.LogFilter    : >>> GET /horses/1 UA=Mozilla/5.0 (X11; Linux x86_64; rv:122.0) Gecko/20100101 Firefox/122.0
2024-03-07T00:12:05.647+01:00 r=68fb1e825130 ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-2] a.a.t.s.a.individual.rest.HorseEndpoint  : GET /horses/1
2024-03-07T00:12:05.650+01:00 r=68fb1e825130 ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-2] a.a.t.s.a.individual.config.LogFilter    : <<< GET /horses/1 status=200 time=5ms
2024-03-07T00:13:17.213+01:00 r=029e3738cb03 ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-4] a.a.t.s.a.individual.config.LogFilter    : >>> GET /horses/1 UA=Mozilla/5.0 (X11; Linux x86_64; rv:122.0) Gecko/20100101 Firefox/122.0
2024-03-07T00:13:17.214+01:00 r=029e3738cb03 ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-4] a.a.t.s.a.individual.rest.HorseEndpoint  : GET /horses/1
2024-03-07T00:13:17.216+01:00 r=029e3738cb03 ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-4] a.a.t.s.a.individual.config.LogFilter    : <<< GET /horses/1 status=200 time=2ms
2024-03-07T00:13:20.472+01:00 r=08b63dc2409a ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-5] a.a.t.s.a.individual.config.LogFilter    : >>> GET /horses/1 UA=Mozilla/5.0 (X11; Linux x86_64; rv:122.0) Gecko/20100101 Firefox/122.0
2024-03-07T00:13:20.474+01:00 r=08b63dc2409a ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-5] a.a.t.s.a.individual.rest.HorseEndpoint  : GET /horses/1
2024-03-07T00:13:20.478+01:00 r=08b63dc2409a ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-5] a.a.t.s.a.individual.config.LogFilter    : <<< GET /horses/1 status=200 time=5ms
2024-03-07T00:13:21.728+01:00 r=919ec83dbc38 ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-6] a.a.t.s.a.individual.config.LogFilter    : >>> GET /horses/1 UA=Mozilla/5.0 (X11; Linux x86_64; rv:122.0) Gecko/20100101 Firefox/122.0
2024-03-07T00:13:21.730+01:00 r=919ec83dbc38 ip=127.0.0.1  INFO 25592 --- [wendys-tournament-management] [http-nio-8080-exec-6] a.a.t.s.a.individual.rest.HorseEndpoint  : GET /horses/1
